Data;Nota;PacienteId;ProfissionalId;
10/11/2021 9:30:07 PM;5;45613;d25e5c70-0803-4749-ac85-53d76a5f2813;
11/17/2021 4:04:24 PM;5;45613;d25e5c70-0803-4749-ac85-53d76a5f2813;
2/7/2022 1:38:26 PM;5;45613;d25e5c70-0803-4749-ac85-53d76a5f2813;
2/10/2022 10:09:40 AM;5;45613;d25e5c70-0803-4749-ac85-53d76a5f2813;
2/15/2022 11:16:00 AM;5;45613;d25e5c70-0803-4749-ac85-53d76a5f2813;
3/14/2022 5:45:58 PM;5;45613;d25e5c70-0803-4749-ac85-53d76a5f2813;
3/21/2022 3:42:37 PM;5;45613;f05bb18f-60d5-4496-aefa-a1e690758247;
5/12/2022 11:01:58 AM;5;45613;d25e5c70-0803-4749-ac85-53d76a5f2813;
8/18/2022 2:54:39 PM;5;45613;d25e5c70-0803-4749-ac85-53d76a5f2813;
11/23/2020 1:37:26 PM;5;55591;c360330c-c204-4ea7-93d0-43b34b04eaa5;
3/30/2021 10:46:00 AM;5;55591;c360330c-c204-4ea7-93d0-43b34b04eaa5;
6/18/2020 10:37:47 AM;5;55659;b1555fea-95fc-4b9c-89ca-7c4f2b14c9eb;
7/27/2020 1:23:33 AM;5;55659;b1555fea-95fc-4b9c-89ca-7c4f2b14c9eb;
8/26/2020 4:56:02 PM;5;55659;b1555fea-95fc-4b9c-89ca-7c4f2b14c9eb;
11/26/2020 9:58:40 AM;5;55659;b1555fea-95fc-4b9c-89ca-7c4f2b14c9eb;
6/9/2021 7:16:21 PM;5;55659;b1555fea-95fc-4b9c-89ca-7c4f2b14c9eb;
6/25/2020 1:22:41 PM;5;55677;c360330c-c204-4ea7-93d0-43b34b04eaa5;
7/25/2020 7:10:29 PM;5;55677;c360330c-c204-4ea7-93d0-43b34b04eaa5;
6/28/2020 10:39:58 AM;5;55791;171ebf82-431d-4e2c-badf-d3f620cac33c;
6/30/2020 9:32:36 PM;5;55959;86c1bb77-2183-4e1b-afa8-22959681eca1;
8/1/2020 9:12:53 PM;5;55959;86c1bb77-2183-4e1b-afa8-22959681eca1;
8/31/2020 10:17:18 AM;5;55978;59f36880-c617-4503-adc3-d8594edef3a3;
10/1/2020 2:15:13 PM;5;55978;59f36880-c617-4503-adc3-d8594edef3a3;
12/1/2020 9:45:11 AM;5;55978;59f36880-c617-4503-adc3-d8594edef3a3;
4/1/2021 8:16:16 PM;5;55978;59f36880-c617-4503-adc3-d8594edef3a3;
7/16/2020 8:56:42 PM;5;56010;8bb9ad01-3933-4123-8b8c-accadb7f8cc2;
6/18/2020 10:06:43 AM;5;56027;9d6b946a-6f3d-4b83-906e-685c5747c7bf;
6/23/2020 4:25:50 PM;4;56027;9d6b946a-6f3d-4b83-906e-685c5747c7bf;
7/7/2020 9:57:04 AM;5;56027;9d6b946a-6f3d-4b83-906e-685c5747c7bf;
7/1/2020 12:05:55 PM;3;56045;59f36880-c617-4503-adc3-d8594edef3a3;
9/1/2020 9:27:42 AM;4;56045;59f36880-c617-4503-adc3-d8594edef3a3;
12/1/2020 7:35:29 PM;3;56045;59f36880-c617-4503-adc3-d8594edef3a3;
8/25/2021 11:52:50 AM;5;60657;eb8bb3a5-0cee-4828-b319-9e5e774083ee;
9/24/2021 11:27:57 AM;5;60657;eb8bb3a5-0cee-4828-b319-9e5e774083ee;
10/21/2020 11:01:20 AM;4;60722;0796f96f-8fa4-47cf-aead-ec1888d1617c;
3/20/2021 1:35:32 PM;5;60722;0796f96f-8fa4-47cf-aead-ec1888d1617c;
8/30/2022 10:49:19 AM;5;60858;c9b47ef6-561c-4e37-8820-d74738cb4f99;
12/9/2020 12:06:04 PM;5;64284;c360330c-c204-4ea7-93d0-43b34b04eaa5;
1/9/2021 12:18:22 AM;5;64284;c360330c-c204-4ea7-93d0-43b34b04eaa5;
4/9/2021 4:16:15 PM;5;64284;c360330c-c204-4ea7-93d0-43b34b04eaa5;
8/13/2021 11:09:41 PM;5;64284;c360330c-c204-4ea7-93d0-43b34b04eaa5;
2/15/2021 9:26:34 AM;5;64301;161f17d9-204e-4821-bcfa-b6a3f90644ec;
8/3/2021 8:40:51 PM;5;64301;161f17d9-204e-4821-bcfa-b6a3f90644ec;
6/27/2022 3:05:34 PM;5;67442;f05bb18f-60d5-4496-aefa-a1e690758247;
2/18/2021 8:22:48 AM;5;67473;ca54f89f-2d09-4ac2-accf-81223e8ebaa2;
